Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.00183735196086752,0.0234860109577308,0.0214712215526119,0,0,0,0.331177751469564,0.000408675697067768,-4.41201756371136E-07,2.22245968701136E-07,0.000256391373319889,1.21802729366082E-06,0.000641766877160111,0,0,0,0,0,0,package://drone_gripper_1/meshes/base.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/base.STL,,Model-1/Mini Flying Drone_.step-1/Component64.step-1;Model-1/Mini Flying Drone_.step-1/mini 1-1.step-1;Model-1/Mini Flying Drone_.step-1/mini 1.step-1;Model-1/Mini Flying Drone_.step-1/mini 1-2.step-1;Model-1/Mini Flying Drone_.step-1/mini 1-0.step-1;Model-1/Mini Flying Drone_.step-1/Component68.step-1;GoPro Hero 9-1;Model-1/Mini Flying Drone_.step-1/Motor mount v1 (1).step-1;Model-1/Mini Flying Drone_.step-1/Motor mount v1 (1)(Mirror).step-1;Model-1/Mini Flying Drone_.step-1/Motor mount v1 (1)(Mirror).step-2;Model-1/Mini Flying Drone_.step-1/Motor mount v1 (1).step-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
arm_base,0.000214188029419162,0.000193119000818306,-0.00422884963023153,0,0,0,0.0169902466324884,3.35386503243666E-06,-3.08286405659295E-08,-4.95327338127143E-08,3.36424959357735E-06,-4.78293502712381E-08,5.21656768832029E-06,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_base.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_base.STL,,2dof_arm-1/Part_0_Link__0-1,Origin_arm_base_j,arm_base,joint0,continuous,-0.00190278280219599,0.0137058612241111,0,3.14159265358978,0,0,base,0,0,1,,,,,,,,,,,,
arm_1,0.0257568296563545,-0.00126299965375996,0.00441041989706169,0,0,0,0.00491659603305015,8.51863077553168E-08,1.91099720889399E-08,2.05299202775821E-08,1.93031929844389E-06,-1.28512427911382E-09,1.98816626328696E-06,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_1.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_1.STL,,2dof_arm-1/Part_1_Arm__1-1,Origin_arm_1_j,arm_1,joint1,continuous,0,0,0.02536318742,1.57079632679496,-1.33772141358135,0.692220818401688,arm_base,-0.00241346964996986,0.0101667205581756,-0.999945404988363,,,,,,,,,,,,
arm_2,-0.0201537546347147,-0.000636375774419107,-0.0186190402341607,0,0,0,0.00392544916661393,6.26921919661817E-08,-3.46838351753242E-08,-9.24440130601162E-08,1.29047395692567E-06,-2.14033813486207E-09,1.31731826590204E-06,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_2.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/arm_2.STL,,2dof_arm-1/Part_2_Arm__2-1,arm_j_2,arm_2,joint2,continuous,0.0587231634536141,0.000148030136126555,-0.00726018904940746,-3.14159265358979,-0.0931773449956951,1.80387124000846,arm_1,-0.0826335630946453,0,0.996579998921453,,,,,,,,,,,,
grip_base,0.00203227581194931,-0.0755497719879831,-0.0124028769093804,0,0,0,0.000106253766819768,1.88428826016347E-09,1.56816965151288E-23,-8.84049279666048E-24,2.91385335431472E-09,-3.31934522017046E-12,1.8848621371562E-09,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_base.STL,,Assem3-1/Part4-1,Origin_grip_base_j,Axis_grip_base_j,grip_base_j,fixed,0.0140365794953349,0.00918773237832539,-0.00598013056319967,0.0979171243878261,-0.563754204668345,-1.61877069975468,arm_2,0,0,0,,,,,,,,,,,,
grip_3,0.00218834584242978,-0.00450039151208766,-0.000600000000000003,0,0,0,4.72948810577953E-05,3.88760140565519E-10,2.24908598889265E-10,3.6189151799195E-25,2.74266315667245E-10,-2.32644547280539E-25,6.4161336432179E-10,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_3.STL,,Assem3-1/Part3-2,grip_3_origin,grip_3,grip_j_3,continuous,0.00263227581194946,-0.0812803871563409,-0.0196242766751848,-1.5707963267949,0.785718928489839,-1.5707963267949,grip_base,0,0,-1,,,,,,,,,,,,
grip_2,-0.00442200197120168,-0.00234270780398207,-0.000600000000000003,0,0,0,4.72948810577953E-05,2.89953474986153E-10,-2.28328433969679E-10,-9.04728794979874E-26,3.73072981246611E-10,-2.19719850209398E-25,6.4161336432179E-10,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_2.STL,,Assem3-1/Part3-3,grip_2_origin,grip_2,grip_2_j,continuous,0.00796765871918628,-0.081280387156332,-0.00830466143292058,-0.395095332965627,-0.353077010917274,0.878515780434203,grip_base,0,0,-1,,,,,,,,,,,,
grip_1,-0.001147793239485,-0.00487082662055863,-0.000600000000000009,0,0,0,4.72948810577952E-05,5.63342500223771E-10,-1.07831087098443E-11,-4.8467614016779E-27,9.96839560089897E-11,7.32062920045099E-28,6.41613364321787E-10,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_1.obj,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/grip_1.obj,,Assem3-1/Part3-1,grip_1_origin,grip_1,grip_j_1,continuous,-0.00450310709531526,-0.0812803871563425,-0.00934389191744596,3.11559761188849,-0.523013103786022,-3.08958498343711,grip_base,0,0,-1,,,,,,,,,,,,
motor_4,0.000695621771873373,0.000721165330689619,-0.0219385365182269,0,0,0,0.0182263997790312,4.01214621124044E-06,4.95663829251268E-07,2.74819369639093E-08,4.01214903765658E-06,2.74974509955742E-08,2.15763150234275E-06,0,0,0,0,0,0,package://drone_gripper_1/meshes/motor_4.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/motor_4.STL,,Model-1/Mini Flying Drone_.step-1/Motor mount v1 (1)(Mirror).step-2;Model-1/Mini Flying Drone_.step-1/mini 1-5.step-1;Model-1/Mini Flying Drone_.step-1/Sunnysky_2806.step-4/Rotor.step-1,Origin_motor_4_j,motor_4,motor_j_4,continuous,-0.1424417912,-0.145260438439791,0.01897384868937,-1.5707963267949,0.785398163397448,-0.78539816339745,base,0,0,-1,0,0,0,0,,,,,,,,
prop_4,-0.00260497417230737,-0.00326880962891066,0.00531815136110944,0,0,0,0.0022878451385303,7.32642478917712E-07,5.10575258280001E-07,4.38931379045592E-09,4.56336123212192E-07,-3.20330300820537E-09,1.18584452926182E-06,0,0,0,0,0,0,package://drone_gripper_1/meshes/prop_4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://drone_gripper_1/meshes/prop_4.STL,,Model-1/Mini Flying Drone_.step-1/Propellor v3_1.step-1/Blade2 B3.step-1;Model-1/Mini Flying Drone_.step-1/Propellor v3_1.step-1/Blade Holder 2.step-1;Model-1/Mini Flying Drone_.step-1/Propellor v3_1.step-1/Blade 1- A3.step-1,Origin_prop_4_j,prop_4,prop_4_j,continuous,-0.0125428685755495,-0.0115637353057587,-0.0282970755018481,1.5707963267949,-0.785398163397449,-0.785398163397449,motor_4,0,0,1,,,,,,,,,,,,
